iter	Passed	Remaining
0	4	4626
1	11	5609
2	18	6251
3	25	6322
4	32	6370
5	38	6338
6	44	6375
7	51	6438
8	58	6430
9	65	6461
10	72	6492
11	79	6571
12	86	6584
13	93	6608
14	101	6637
15	108	6642
16	115	6676
17	122	6664
18	129	6683
19	136	6681
20	142	6655
21	149	6646
22	155	6612
23	162	6617
24	169	6610
25	176	6612
26	183	6609
27	190	6597
28	199	6668
29	206	6661
30	214	6707
31	221	6703
32	228	6700
33	235	6693
34	242	6685
35	249	6678
36	256	6664
37	262	6656
38	269	6650
39	276	6635
40	283	6632
41	290	6628
42	296	6608
43	303	6592
44	310	6590
45	317	6583
46	324	6584
47	331	6574
48	338	6572
49	345	6565
50	352	6558
51	359	6548
52	365	6535
53	373	6538
54	379	6526
55	387	6529
56	441	7298
57	450	7308
58	457	7298
59	464	7271
60	472	7268
61	479	7253
62	487	7246
63	494	7235
64	502	7224
65	509	7213
66	517	7208
67	525	7197
68	532	7187
69	539	7170
70	546	7153
71	555	7158
72	562	7138
73	569	7123
74	576	7104
75	583	7088
76	604	7246
77	611	7229
78	619	7222
79	626	7204
80	633	7190
81	640	7168
82	647	7158
83	656	7157
84	664	7148
85	670	7127
86	677	7108
87	684	7089
88	690	7067
89	697	7048
90	703	7025
91	709	6999
92	715	6978
93	721	6953
94	728	6935
95	734	6913
96	740	6892
97	747	6882
98	754	6863
99	760	6842
100	767	6827
101	772	6804
102	778	6783
103	784	6759
104	790	6735
105	796	6717
106	802	6696
107	808	6678
108	814	6657
109	820	6637
110	826	6619
111	836	6628
112	842	6616
113	848	6596
114	854	6576
115	860	6559
116	866	6542
117	873	6527
118	879	6510
119	885	6493
120	891	6478
121	897	6461
122	904	6449
123	911	6439
124	918	6427
125	925	6421
126	932	6411
127	940	6406
128	947	6396
129	954	6386
130	961	6375
131	967	6364
132	975	6356
133	982	6346
134	989	6338
135	999	6350
136	1006	6341
137	1013	6327
138	1021	6327
139	1029	6324
140	1037	6320
141	1044	6309
142	1052	6309
143	1060	6302
144	1068	6303
145	1076	6295
146	1084	6292
147	1092	6287
148	1099	6279
149	1107	6273
150	1114	6265
151	1120	6253
152	1127	6242
153	1135	6237
154	1142	6227
155	1149	6218
156	1156	6209
157	1163	6202
158	1169	6187
159	1175	6173
160	1182	6163
161	1189	6152
